OFFENSE,YEAR,STREET,LAT,LON
ROBBERY,2018,STUART ST,42.35103105,-71.06373331
ROBBERY,2018,MASSACHUSETTS AVE,42.33828866,-71.07908476
ROBBERY,2018,CHARLES ST,42.35427162,-71.06838613
ROBBERY,2018,COLUMBIA RD,42.31363409,-71.06778025
ROBBERY,2018,CLEMENTINE PARK,42.2926877,-71.06556673
ROBBERY,2018,IPSWICH ST,42.34750472,-71.0934647
ROBBERY,2018,LENOX ST,42.33593698,-71.08008791
ROBBERY,2018,TRULL ST,42.31250816,-71.06546757
ROBBERY,2018,WASHINGTON ST,42.29257648,-71.07179406
ROBBERY,2018,BOSTON ST,42.32365136,-71.06020434
ROBBERY,2018,BOWDOIN ST,42.30915823,-71.06402751
ROBBERY,2018,DEVONSHIRE ST,42.355096,-71.057506
ROBBERY,2018,COLONIAL AVE,42.29040923,-71.07693574
ROBBERY,2018,MASSACHUSETTS AVE,42.32856401,-71.06835343
ROBBERY,2018,BOWDOIN AVE,42.30090969,-71.07425843
ROBBERY,2018,NEPONSET AVE,42.28841085,-71.04710091
ROBBERY,2018,HARRISON AVE,42.35019071,-71.0616948
ROBBERY,2018,BLUE HILL AVE,42.28374569,-71.09153583
ROBBERY,2018,HYDE PARK AVE,42.27380942,-71.11996035
ROBBERY,2018,MAXWELL ST,42.28220579,-71.07791871
ROBBERY,2018,PERRIN ST,42.32274491,-71.07799077
ROBBERY,2018,VINE ST,42.37663167,-71.05593196
ROBBERY,2018,MASSACHUSETTS AVE,42.34107005,-71.08255287
ROBBERY,2018,BENNINGTON ST,42.37764002,-71.03151871
ROBBERY,2018,W BROADWAY,42.33930416,-71.05160423
ROBBERY,2018,ENNEKING PKWY,42.25830455,-71.12873203
ROBBERY,2018,BOWDOIN ST,42.36038173,-71.06285769
ROBBERY,2018,WASHINGTON ST,42.29417346,-71.07193797
ROBBERY,2018,CARLETON ST,42.34516984,-71.07849196
ROBBERY,2018,W CEDAR ST,42.36063386,-71.07005247
ROBBERY,2018,MORTON ST,42.28405588,-71.09045322
ROBBERY,2018,DALE ST,42.32074773,-71.08179833
ROBBERY,2018,CENTRE ST,42.3226603,-71.10550489
ROBBERY,2018,BOYLSTON ST,42.34442266,-71.09833083
ROBBERY,2018,PRINCE ST,42.36475392,-71.05469547
ROBBERY,2018,ANDERSON ST,42.35927699,-71.06771271
ROBBERY,2018,W BROADWAY,42.336112,-71.04665434
ROBBERY,2018,SCHOOL ST,42.35774054,-71.05956789
ROBBERY,2018,SAINT BOTOLPH ST,42.3414751,-71.08495034
ROBBERY,2018,SUMMER ST,42.35521625,-71.06012863
ROBBERY,2018,THURSTON ST,42.38464159,-71.00575163
ROBBERY,2018,D ST,42.3373198,-71.05257179
ROBBERY,2018,MORTON ST,42.28187061,-71.08751152
ROBBERY,2018,ALLSTATE RD,42.32809966,-71.06321676
ROBBERY,2018,WASHINGTON ST,42.30511791,-71.08019088
ROBBERY,2018,DUDLEY ST,42.31987076,-71.07096263
ROBBERY,2018,MERCER ST,42.33223641,-71.04900521
