COMPNOS,NatureCode,INCIDENT_TYPE_DESCRIPTION,MAIN_CRIMECODE,REPTDISTRICT,REPORTINGAREA,FROMDATE,WEAPONTYPE,Shooting,DOMESTIC,SHIFT,Year,Month,DAY_WEEK,UCRPART,X,Y,STREETNAME,XSTREETNAME,Location
120419213,ARMROB,ROBBERY,03xx,D4,625,7/8/12 6:26,Firearm,No,No,Last,2012,7,Sunday,Part One,765118.8605,2950217.536,JERSEY ST,QUEENSBERRY ST,"(42.34284135, -71.09698955)"
120419236,ARMROB,ROBBERY,03xx,E18,496,7/8/12 7:15,Firearm,No,No,Last,2012,7,Sunday,Part One,759042.7315,2923832.681,COLLINS ST,,"(42.27051636, -71.11989955)"
120419239,SHOT  ,ROBBERY,03xx,C11,249,7/8/12 7:32,Firearm,Yes,No,Day,2012,7,Sunday,Part One,777066.0032,2939504.801,SYDNEY ST,,"(42.31328183, -71.0530059)"
120419257,ARMROB,ROBBERY,03xx,B2,295,7/8/12 7:50,Firearm,No,No,Day,2012,7,Sunday,Part One,768066.0298,2943456.962,REGENT ST,HERMAN ST,"(42.32425136, -71.08620956)"
120419887,PERGUN,ROBBERY,03xx,C11,403,7/8/12 16:13,Firearm,No,No,First,2012,7,Sunday,Part One,772576.4249,2928248.165,FULLER ST,,"(42.28245637, -71.06981457)"
120419954,ALARMH,ROBBERY,03xx,B2,276,7/8/12 16:36,Knife,No,No,First,2012,7,Sunday,Part One,768918.0261,2946746.413,SHAWMUT AV,,"(42.33326635, -71.08299956)"
120420378,HOMINV,ROBBERY,03xx,B2,315,7/8/12 20:20,Firearm,No,No,First,2012,7,Sunday,Part One,768787.1681,2939488.235,WARREN ST,,"(42.31335135, -71.08361455)"
120421560,IVPER ,ROBBERY,03xx,D4,162,7/9/12 11:32,Unarmed,No,No,Day,2012,7,Monday,Part One,773599.2408,2950847.715,WASHINGTON ST,,"(42.34445634, -71.06560956)"
120421635,ABRPT ,ROBBERY,03xx,D14,796,7/9/12 12:15,Unarmed,No,No,Day,2012,7,Monday,Part One,756582.5422,2953012.745,COMMONWEALTH AV,,"(42.35061784, -71.12851965)"
120421733,ROBRPT,ROBBERY,03xx,D14,794,7/9/12 13:00,Unarmed,No,No,Day,2012,7,Monday,Part One,755398.1309,2952956.888,GLENVILLE AV,,"(42.35047863, -71.13290212)"
120421939,REQP  ,ROBBERY,03xx,E18,522,7/9/12 14:25,Unarmed,No,No,Day,2012,7,Monday,Part One,757781.442,2917561.938,HYDE PARK AV,,"(42.25332425, -71.12466158)"
120421986,ROBIP ,ROBBERY,03xx,B3,437,7/9/12 14:49,Unarmed,No,No,Day,2012,7,Monday,Part One,771778.5062,2931144.96,TALBOT AV,,"(42.29041636, -71.07270956)"
120422449,IVPER ,ROBBERY,03xx,E18,518,7/9/12 18:08,Unarmed,No,No,First,2012,7,Monday,Part One,759341.4605,2915126.192,WASHINGTON ST,DANA AV,"(42.24662137, -71.11893955)"
120423039,ABDWIP,ROBBERY,03xx,A7,26,7/9/12 22:39,Other,No,No,First,2012,7,Monday,Part One,780511.5193,2962449.128,BORDER ST,,"(42.37619134, -71.03980956)"
120430077,ABRPT ,ROBBERY,03xx,D14,784,7/10/12 0:30,Unarmed,No,No,Last,2012,7,Tuesday,Part One,752858.0845,2950968.248,COMMONWEALTH AV,FIDELIS WY,"(42.34505135, -71.14232954)"
120424131,ARMROB,ROBBERY,03xx,E18,503,7/10/12 12:55,Firearm,No,No,Day,2012,7,Tuesday,Part One,761047.1773,2928774.728,AMERICAN LEGION HY,,"(42.28405295, -71.11241077)"
120425560,INVEST,ROBBERY,03xx,B3,0,7/10/12 23:15,Firearm,No,No,First,2012,7,Tuesday,Part One,771207.3226,2933370.556,ATHELWOLD ST,SCHOOL ST,"(42.29653136, -71.07477956)"
120425569,ROBIP ,ROBBERY,03xx,D14,803,7/11/12 1:15,Unarmed,No,No,Last,2012,7,Wednesday,Part One,755040.5122,2954567.108,CAMBRIDGE ST,,"(42.35490135, -71.13419954)"
120426547,LARCRT,ROBBERY,03xx,B2,296,7/11/12 13:40,Unarmed,No,No,Day,2012,7,Wednesday,Part One,768854.0114,2945459.675,WARREN ST,,"(42.32973635, -71.08325955)"
120433664,ROBRPT,ROBBERY,03xx,A7,32,7/11/12 22:00,Other,No,No,First,2012,7,Wednesday,Part One,,,PORTER ST,,"(0.0, 0.0)"
120428972,ARMROB,ROBBERY,03xx,E18,519,7/12/12 2:00,Knife,No,No,Last,2012,7,Thursday,Part One,759406.3453,2917423.628,FAIRMOUNT AV,,"(42.25292494, -71.11866197)"
120428569,ROBIP ,ROBBERY,03xx,C6,213,7/12/12 10:56,Unarmed,No,No,Day,2012,7,Thursday,Part One,778722.6466,2947847.002,W BROADWAY,,"(42.33614915, -71.0467171)"
120430100,ABRPT ,ROBBERY,03xx,A1,96,7/12/12 22:33,Unarmed,No,No,First,2012,7,Thursday,Part One,777573.203,2955784.918,E INDIA ROW,,"(42.35794766, -71.05081372)"
120430486,LARCIP,ROBBERY,03xx,B2,302,7/13/12 3:01,Unarmed,No,No,Last,2012,7,Friday,Part One,764875.3416,2943664.003,CENTRE ST,,"(42.32486135, -71.09800455)"
120431093,ALARMH,ROBBERY,03xx,D4,138,7/13/12 11:43,Firearm,No,No,Day,2012,7,Friday,Part One,769600.5057,2952569.662,BOYLSTON ST,,"(42.34923635, -71.08036955)"
120431341,SHOT  ,ROBBERY,03xx,D4,947,7/13/12 13:45,Firearm,Yes,No,Day,2012,7,Friday,Part One,770060.6546,2948069.429,SHAWMUT AV,NORTHAMPTON ST,"(42.33688135, -71.07874956)"
120431458,ROBIP ,ROBBERY,03xx,A1,112,7/13/12 14:20,Unarmed,No,No,Day,2012,7,Friday,Part One,774824.9513,2954057.314,AVENUE DE LAFAYETTE,,"(42.35324634, -71.06101456)"
120431617,LARCRT,ROBBERY,03xx,A1,119,7/13/12 15:00,Unarmed,No,No,Day,2012,7,Friday,Part One,773775.1158,2953733.06,BOYLSTON ST,,"(42.35237134, -71.06490456)"
120431968,ROBIP ,ROBBERY,03xx,B2,456,7/13/12 18:30,Unarmed,No,No,First,2012,7,Friday,Part One,770832.9737,2937381.004,COLUMBIA RD,DEVON ST,"(42.30754136, -71.07608956)"
120447766,LARCRT,ROBBERY,03xx,A1,74,7/13/12 21:00,Unarmed,No,No,First,2012,7,Friday,Part One,774170.8689,2958006.189,STANIFORD ST,MERRIMAC ST,"(42.36409135, -71.06335957)"
120432575,ARMROB,ROBBERY,03xx,B2,0,7/13/12 23:56,Firearm,No,No,Last,2012,7,Friday,Part One,768729.7918,2942654.81,ROCKLAND ST,ROCKLAND AV,"(42.32204135, -71.08376956)"
120432731,UNK   ,ROBBERY,03xx,C6,187,7/14/12 1:00,Unarmed,No,No,Last,2012,7,Saturday,Part One,775356.0696,2943771.932,BOSTON ST,,"(42.32501543, -71.05924631)"
120445566,ROBRPT,ROBBERY,03xx,A7,23,7/14/12 1:00,Unarmed,No,No,Last,2012,7,Saturday,Part One,,,SARATOGA ST,,"(0.0, 0.0)"
120432866,ABIP  ,ROBBERY,03xx,D14,792,7/14/12 2:15,Unarmed,No,No,Last,2012,7,Saturday,Part One,754014.7399,2952336.082,COMMONWEALTH AV,ALLSTON ST,"(42.34879135, -71.13802954)"
120432938,IVPREM,ROBBERY,03xx,C11,0,7/14/12 2:50,Unarmed,No,No,Last,2012,7,Saturday,Part One,772109.2449,2935864.087,BOWDOIN ST,GENEVA AV,"(42.30336136, -71.07139956)"
