INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I192078609,00301,Robbery,ROBBERY - STREET,A1,119,,2019-09-29 01:01:00,2019,9,Sunday,1,Part One,TREMONT ST,42.35637531,-71.06213513,"(42.35637531, -71.06213513)"
I192078603,00301,Robbery,ROBBERY - STREET,A7,23,,2019-09-29 01:30:00,2019,9,Sunday,1,Part One,BENNINGTON ST,42.37546983,-71.03730221,"(42.37546983, -71.03730221)"
I192078529,00301,Robbery,ROBBERY - STREET,E5,822,,2019-09-27 23:00:00,2019,9,Friday,23,Part One,EDGEMERE RD,42.25867638,-71.15116479,"(42.25867638, -71.15116479)"
I192078417,00311,Robbery,ROBBERY - COMMERCIAL,D4,142,,2019-09-28 12:24:00,2019,9,Saturday,12,Part One,NEWBURY ST,42.34840576,-71.08688339,"(42.34840576, -71.08688339)"
I192078317,00361,Robbery,ROBBERY - OTHER,B3,432,,2019-09-28 02:27:00,2019,9,Saturday,2,Part One,LAURIAT ST,42.28845961,-71.08046188,"(42.28845961, -71.08046188)"
I192078280,00301,Robbery,ROBBERY - STREET,A7,19,,2019-09-27 23:12:00,2019,9,Friday,23,Part One,SARATOGA ST,42.37864819,-71.03089238,"(42.37864819, -71.03089238)"
I192078046,00311,Robbery,ROBBERY - COMMERCIAL,D4,623,,2019-09-27 11:32:00,2019,9,Friday,11,Part One,COMMONWEALTH AVE,42.34877575,-71.09606805,"(42.34877575, -71.09606805)"
I192077604,00301,Robbery,ROBBERY - STREET,E13,912,,2019-09-25 21:06:00,2019,9,Wednesday,21,Part One,PARKER ST,42.32469443,-71.10087902,"(42.32469443, -71.10087902)"
I192077602,00301,Robbery,ROBBERY - STREET,D14,769,,2019-09-25 21:14:00,2019,9,Wednesday,21,Part One,LEICESTER ST,42.35291119,-71.1530769,"(42.35291119, -71.15307690)"
I192077492,00301,Robbery,ROBBERY - STREET,C6,914,,2019-09-25 16:56:00,2019,9,Wednesday,16,Part One,DR. MICHAEL GAVIN WAY,42.32614559,-71.05349144,"(42.32614559, -71.05349144)"
I192077245,00301,Robbery,ROBBERY - STREET,D4,273,,2019-09-24 20:45:00,2019,9,Tuesday,20,Part One,NORTHAMPTON ST,42.33690201,-71.07871786,"(42.33690201, -71.07871786)"
I192077188,00311,Robbery,ROBBERY - COMMERCIAL,A1,105,,2019-09-24 18:54:00,2019,9,Tuesday,18,Part One,SUMMER ST,42.35450139,-71.05916774,"(42.35450139, -71.05916774)"
I192077167,00301,Robbery,ROBBERY - STREET,B2,281,,2019-09-24 18:38:00,2019,9,Tuesday,18,Part One,DUDLEY ST,42.32849143,-71.08121253,"(42.32849143, -71.08121253)"
I192076924,00301,Robbery,ROBBERY - STREET,A7,27,,2019-09-24 05:27:00,2019,9,Tuesday,5,Part One,MAVERICK SQ,42.36995418,-71.03900989,"(42.36995418, -71.03900989)"
