"distance","Legend","MUNI","Area","counter","distInt","Building_Density"
-660,"Inside the UGA","LANCASTER TOWNSHIP",158172.315981675,0,"(-663,-632]",0
-1320,"Inside the UGA","LANCASTER TOWNSHIP",321386.814695772,5,"(-1345,-1314]",1.55575766377754e-05
-3300,"Inside the UGA","LANCASTER TOWNSHIP",24495.6724358052,5,"(-3329,-3298]",0.000204117687036488
-3960,"Inside the UGA","LANCASTER TOWNSHIP",62630.682891272,6,"(-3980,-3949]",9.57996899126281e-05
-5940,"Inside the UGA","LANCASTER TOWNSHIP",105152.907815456,0,"(-5964,-5933]",0
-6600,"Inside the UGA","LANCASTER TOWNSHIP",284095.973508775,1,"(-6615,-6584]",3.51993725095548e-06
-7260,"Inside the UGA","LANCASTER TOWNSHIP",245.901780436048,0,"(-7266,-7235]",0
-7260,"Inside the UGA","MANHEIM TOWNSHIP",88471.5175366551,10,"(-7266,-7235]",0.000113030727610803
-7920,"Inside the UGA","MANHEIM TOWNSHIP",31645.5464784205,1,"(-7948,-7917]",3.16000231085253e-05
-7920,"Inside the UGA","MANHEIM TOWNSHIP",37871.1463497281,6,"(-7948,-7917]",0.000158431961488356
-8580,"Inside the UGA","MANHEIM TOWNSHIP",1805.4562330842,0,"(-8599,-8568]",0
-9240,"Inside the UGA","MANHEIM TOWNSHIP",584907.869637661,0,"(-9250,-9219]",0
-9900,"Inside the UGA","MANHEIM TOWNSHIP",1292692.97421929,0,"(-9901,-9870]",0
-9900,"Inside the UGA","MANHEIM TOWNSHIP",392503.1083031,3,"(-9901,-9870]",7.64325157313998e-06
-10560,"Inside the UGA","MANHEIM TOWNSHIP",2023.91225046664,0,"(-1.058e+04,-1.055e+04]",0
-10560,"Inside the UGA","MANHEIM TOWNSHIP",3388.9699535612,0,"(-1.058e+04,-1.055e+04]",0
-11220,"Inside the UGA","MANHEIM TOWNSHIP",29670.1223686263,2,"(-1.123e+04,-1.12e+04]",6.7407878375144e-05
-13860,"Inside the UGA","MANHEIM TOWNSHIP",77808.4501874894,0,"(-1.387e+04,-1.384e+04]",0
-14520,"Inside the UGA","MANHEIM TOWNSHIP",8023.06187590957,0,"(-1.456e+04,-1.449e+04]",0
-12540,"Inside the UGA","MANHEIM TOWNSHIP",33951.2243688181,0,"(-1.257e+04,-1.254e+04]",0
-12540,"Inside the UGA","MANHEIM TOWNSHIP",12984.4207366132,0,"(-1.257e+04,-1.254e+04]",0
-13200,"Inside the UGA","MANHEIM TOWNSHIP",92381.4781114906,1,"(-1.322e+04,-1.319e+04]",1.08246806658922e-05
-12540,"Inside the UGA","MANHEIM TOWNSHIP",46637.5836469433,1,"(-1.257e+04,-1.254e+04]",2.14419342041864e-05
-11880,"Inside the UGA","MANHEIM TOWNSHIP",145695.574114038,1,"(-1.188e+04,-1.185e+04]",6.86362647651389e-06
-12540,"Inside the UGA","MANHEIM TOWNSHIP",58582.1109965984,1,"(-1.257e+04,-1.254e+04]",1.70700574456606e-05
-1980,"Inside the UGA","LANCASTER TOWNSHIP",23522.133427266,0,"(-1996,-1965]",0
