OFFENSE,YEAR,STREET,LAT,LON
ROBBERY,2012,JERSEY ST,42.34284135,-71.09698955
ROBBERY,2012,COLLINS ST,42.27051636,-71.11989955
ROBBERY,2012,SYDNEY ST,42.31328183,-71.0530059
ROBBERY,2012,REGENT ST,42.32425136,-71.08620956
ROBBERY,2012,FULLER ST,42.28245637,-71.06981457
ROBBERY,2012,SHAWMUT AV,42.33326635,-71.08299956
ROBBERY,2012,WARREN ST,42.31335135,-71.08361455
ROBBERY,2012,WASHINGTON ST,42.34445634,-71.06560956
ROBBERY,2012,COMMONWEALTH AV,42.35061784,-71.12851965
ROBBERY,2012,GLENVILLE AV,42.35047863,-71.13290212
ROBBERY,2012,HYDE PARK AV,42.25332425,-71.12466158
ROBBERY,2012,TALBOT AV,42.29041636,-71.07270956
ROBBERY,2012,WASHINGTON ST,42.24662137,-71.11893955
ROBBERY,2012,BORDER ST,42.37619134,-71.03980956
ROBBERY,2012,COMMONWEALTH AV,42.34505135,-71.14232954
ROBBERY,2012,AMERICAN LEGION HY,42.28405295,-71.11241077
ROBBERY,2012,ATHELWOLD ST,42.29653136,-71.07477956
ROBBERY,2012,CAMBRIDGE ST,42.35490135,-71.13419954
ROBBERY,2012,WARREN ST,42.32973635,-71.08325955
ROBBERY,2012,FAIRMOUNT AV,42.25292494,-71.11866197
ROBBERY,2012,W BROADWAY,42.33614915,-71.0467171
ROBBERY,2012,E INDIA ROW,42.35794766,-71.05081372
ROBBERY,2012,CENTRE ST,42.32486135,-71.09800455
ROBBERY,2012,BOYLSTON ST,42.34923635,-71.08036955
ROBBERY,2012,SHAWMUT AV,42.33688135,-71.07874956
ROBBERY,2012,AVENUE DE LAFAYETTE,42.35324634,-71.06101456
ROBBERY,2012,BOYLSTON ST,42.35237134,-71.06490456
ROBBERY,2012,COLUMBIA RD,42.30754136,-71.07608956
ROBBERY,2012,STANIFORD ST,42.36409135,-71.06335957
ROBBERY,2012,ROCKLAND ST,42.32204135,-71.08376956
ROBBERY,2012,BOSTON ST,42.32501543,-71.05924631
ROBBERY,2012,COMMONWEALTH AV,42.34879135,-71.13802954
ROBBERY,2012,BOWDOIN ST,42.30336136,-71.07139956
ROBBERY,2012,MERIDIAN ST,42.37712134,-71.03917957
ROBBERY,2012,BROOK ST,42.37841134,-71.03471957
