the_geom,cartodb_id,station,line,terminus,route
0101000020E6100000D087600037C251C0A44FAD431B2C4540,127,Design Center,SILVER,N,SL2
0101000020E610000014EF4E3D0FC451C08474C94B56244540,1,Ashmont,RED,Y,A - Ashmont  C - Alewife
0101000020E6100000430A37289CC751C03BC59830E02F4540,2,Harvard,RED,N,A - Ashmont  B - Braintree  C - Alewife
0101000020E6100000ACFA532984C551C05BEC42A0632E4540,3,Kendall/MIT,RED,N,A - Ashmont  B - Braintree  C - Alewife
0101000020E610000075AC8AC394C551C08514B62D3F224540,4,Capen Street,RED,N,Mattapan Trolley
0101000020E6100000E5935D301DC451C03B0957A7AE2C4540,5,Tufts Medical Center,ORANGE,N,Forest Hills to Oak Grove
0101000020E61000001C0255AEC3CE51C0D41D6B5CB6294540,6,Waban,GREEN,N,D - Riverside
0101000020E6100000662ECC671DC651C01B92E6EDAB2C4540,7,Kenmore,GREEN,N,B C D
0101000020E61000000766D8178BC451C01C2D9CBF062D4540,8,Arlington,GREEN,N,B C D E
0101000020E61000009B0BC28CFDC451C02436A9C5C92C4540,9,Copley,GREEN,N,B C D E
0101000020E61000009864047122C451C0BD286ECD2F2D4540,10,Boylston,GREEN,N,B C D E
0101000020E610000029DACE5101C451C0033958DF1D2D4540,11,Chinatown,ORANGE,N,Forest Hills to Oak Grove
0101000020E6100000CC806FD7B3C351C062C3E17F652E4540,12,Haymarket,GREEN/ORANGE,N,GREEN C E / ORANGE Forest Hills to Oak Grove
0101000020E61000001E4FAAC2D6C351C04F2AE207BD2E4540,13,North Station,GREEN/ORANGE,N,GREEN C E / ORANGE Forest Hills to Oak Grove
0101000020E6100000125EA2AED2C751C0A78FCBC3C8324540,14,Davis,RED,N,A - Ashmont  B - Braintree  C - Alewife
0101000020E6100000BAE1A1EE87C351C07A0650C4212D4540,15,South Station,RED,N,A - Ashmont  B - Braintree  C - Alewife
0101000020E61000006A32276B88C451C03C15902600384540,16,Oak Grove,ORANGE,Y,Forest Hills to Oak Grove
0101000020E6100000B41E9C94C1C451C032A7A1349A364540,17,Malden Center,ORANGE,N,Forest Hills to Oak Grove
0101000020E61000001EECFB7DEFC451C0B42DD2376C334540,18,Wellington,ORANGE,N,Forest Hills to Oak Grove
0101000020E6100000AFB76772ECC451C0D45565A830314540,19,Sullivan Square,ORANGE,N,Forest Hills to Oak Grove
0101000020E61000000917DD6B80C451C007D8C038DC2F4540,20,Community College,ORANGE,N,Forest Hills to Oak Grove
0101000020E61000004E7BE126F0C451C006D2A23C7A2F4540,21,Lechmere,GREEN,Y,E - Lechmere
0101000020E61000003B94E0EA55C451C05F82836AF12E4540,22,Science Park,GREEN,N,E - Lechmere
0101000020E6100000480CE89250C151C0796EB98B23224540,50,Wollaston,RED,N,B - Braintree  C - Alewife
